Date,Close,MA_20,MA_50
2022-10-18,257.5,291.75,401.425
2022-10-19,246.25,286.8125,395.3
2022-10-20,237.5,282.5625,388.35
2022-10-21,238.75,279.0,382.125
2022-10-24,237.5,276.0,375.725
2022-10-25,237.5,273.375,369.175
2022-10-26,257.5,270.875,362.575
2022-10-27,255.0,269.125,356.025
2022-10-28,266.25,268.0625,349.9
2022-10-31,257.5,265.6875,343.75
2022-11-01,265.75,263.225,338.365
2022-11-02,274.25,261.4375,334.25
2022-11-03,262.5,259.0625,329.75
2022-11-04,270.0,257.9375,325.3
2022-11-07,285.0,258.0625,321.5
2022-11-08,267.5,257.9375,317.2
2022-11-09,260.0,257.9375,313.05
2022-11-10,260.0,257.5625,308.2
2022-11-11,280.0,258.8125,305.2
2022-11-14,305.0,261.0625,302.675
2022-11-15,307.5,263.5625,300.125
2022-11-16,297.5,266.125,297.525
2022-11-17,295.0,269.0,294.825
2022-11-18,305.0,272.3125,292.275
2022-11-21,322.5,276.5625,290.325
2022-11-22,300.0,279.6875,288.625
2022-11-23,285.0,281.0625,286.675
2022-11-25,291.0,282.8625,285.145
2022-11-28,275.0,283.3,283.345
2022-11-29,268.75,283.8625,281.72
2022-11-30,257.5,283.45,280.07
2022-12-01,255.0,282.4875,278.27
2022-12-02,260.0,282.3625,277.02
2022-12-05,272.5,282.4875,276.27
2022-12-06,260.0,281.2375,275.52
2022-12-07,261.0,280.9125,274.94
2022-12-08,254.75,280.65,273.885
2022-12-09,257.5,280.525,273.235
2022-12-12,258.75,279.4625,272.66
2022-12-13,262.5,277.3375,271.81
2022-12-14,252.5,274.5875,270.56
2022-12-15,240.0,271.7125,269.16
2022-12-16,240.0,268.9625,267.76
2022-12-19,237.5,265.5875,266.66
2022-12-20,235.0,261.2125,265.71
2022-12-21,217.5,257.0875,264.66
2022-12-22,208.75,253.275,263.635
2022-12-23,204.25,248.9375,262.37
2022-12-27,237.5,247.0625,262.02
2022-12-28,243.75,245.8125,261.695
2022-12-29,247.0,245.2875,261.485
2022-12-30,236.25,244.35,261.285
2023-01-03,247.5,243.725,261.485
2023-01-04,245.0,242.35,261.61
2023-01-05,260.0,242.35,262.06
2023-01-06,260.0,242.3,262.51
2023-01-09,255.0,242.3125,262.46
2023-01-10,250.0,241.9375,262.36
2023-01-11,257.5,241.875,262.185
2023-01-12,260.0,241.75,262.235
2023-01-13,267.5,242.5,262.27
2023-01-17,281.25,244.5625,262.41
2023-01-18,255.0,245.3125,262.26
2023-01-19,267.5,246.8125,262.21
2023-01-20,296.25,249.875,262.435
2023-01-23,293.75,253.6875,262.96
2023-01-24,285.0,257.5,263.46
2023-01-25,285.0,261.5375,263.96
2023-01-26,285.0,263.9125,264.06
2023-01-27,277.5,265.6,263.51
2023-01-30,280.0,267.25,262.96
2023-01-31,277.5,269.3125,262.56
2023-02-01,275.0,270.6875,262.16
2023-02-02,300.0,273.4375,262.06
2023-02-03,272.5,274.0625,261.06
2023-02-06,280.0,275.0625,260.66
2023-02-07,295.0,277.0625,260.86
2023-02-08,272.5,278.1875,260.49
2023-02-09,270.0,278.8125,260.39
2023-02-10,272.5,279.4375,260.465
2023-02-13,272.5,279.6875,260.765
2023-02-14,267.5,279.0,261.015
2023-02-15,262.0,279.35,261.055
2023-02-16,256.25,278.7875,260.73
2023-02-17,257.5,276.85,260.68
2023-02-21,261.25,275.225,260.685
2023-02-22,255.0,273.725,260.69
2023-02-23,250.0,271.975,260.54
2023-02-24,256.75,270.5625,260.5
2023-02-27,258.25,269.6,260.415
2023-02-28,257.5,268.475,260.515
2023-03-01,257.5,267.475,260.865
2023-03-02,248.75,266.1625,261.04
2023-03-03,250.0,263.6625,261.29
2023-03-06,243.75,262.225,261.465
2023-03-07,247.5,260.6,262.065
2023-03-08,245.0,258.1,262.79
2023-03-09,247.5,256.85,263.655
2023-03-10,246.25,255.6625,263.83
2023-03-13,222.25,253.15,263.4
2023-03-14,211.25,250.0875,262.685
2023-03-15,203.75,246.9,262.035
2023-03-16,197.5,243.675,261.035
2023-03-17,177.75,239.75,259.69
2023-03-20,190.5,236.4,258.3
2023-03-21,190.0,232.8375,256.9
2023-03-22,196.5,229.9125,255.73
2023-03-23,196.25,227.225,254.655
2023-03-24,195.0,224.1375,253.405
2023-03-27,197.25,221.0875,252.15
2023-03-28,205.0,218.4625,250.9
2023-03-29,216.0,216.3875,249.595
2023-03-30,210.0,214.45,248.695
2023-03-31,229.75,213.4375,247.94
2023-04-03,227.5,212.625,246.565
2023-04-04,252.5,212.875,245.74
2023-04-05,232.75,212.2625,244.695
2023-04-06,237.25,211.75,243.74
2023-04-10,235.0,211.1875,242.74
2023-04-11,228.25,211.4875,241.755
2023-04-12,223.5,212.1,240.625
2023-04-13,220.75,212.95,239.49
2023-04-14,230.0,214.575,238.59
2023-04-17,221.25,216.75,237.015
2023-04-18,217.25,218.0875,235.91
2023-04-19,207.5,218.9625,234.46
2023-04-20,212.5,219.7625,232.81
2023-04-21,212.5,220.575,231.61
2023-04-24,217.5,221.7,230.56
2023-04-25,212.5,222.4625,229.36
2023-04-26,227.25,223.575,228.455
2023-04-27,221.75,223.8625,227.54
2023-04-28,227.5,224.7375,226.85
2023-05-01,248.75,225.6875,226.7
2023-05-02,262.5,227.4375,226.8
2023-05-03,265.0,228.0625,226.875
2023-05-04,290.0,230.925,227.575
2023-05-05,295.0,233.8125,228.475
2023-05-08,295.0,236.8125,229.24
2023-05-09,304.5,240.625,230.165
2023-05-10,292.5,244.075,230.865
2023-05-11,295.0,247.7875,231.615
2023-05-12,287.5,250.6625,232.39
2023-05-15,298.5,254.525,233.36
2023-05-16,305.0,258.9125,234.585
2023-05-17,292.5,263.1625,235.485
2023-05-18,295.0,267.2875,236.485
2023-05-19,292.5,271.2875,237.385
2023-05-22,292.5,275.0375,238.31
2023-05-23,291.25,278.975,239.69
2023-05-24,285.0,281.8625,241.165
2023-05-25,272.5,284.4,242.54
2023-05-26,270.0,286.525,243.99
2023-05-30,260.0,287.0875,245.635
2023-05-31,252.5,286.5875,246.875
2023-06-01,252.5,285.9625,248.125
2023-06-02,265.0,284.7125,249.495
2023-06-05,262.5,283.0875,250.82
2023-06-06,260.0,281.3375,252.12
2023-06-07,257.5,278.9875,253.325
2023-06-08,257.5,277.2375,254.375
2023-06-09,260.0,275.4875,255.255
2023-06-12,267.25,274.475,256.4
2023-06-13,265.0,272.8,257.105
2023-06-14,270.0,271.05,257.955
2023-06-15,268.75,269.8625,258.28
2023-06-16,262.5,268.2375,258.875
2023-06-20,262.5,266.7375,259.38
2023-06-21,261.25,265.175,259.905
2023-06-22,255.5,263.3875,260.45
2023-06-23,247.5,261.5125,260.93
2023-06-26,205.0,258.1375,260.615
2023-06-27,195.0,254.3875,259.915
2023-06-28,212.5,252.0125,259.74
2023-06-29,212.5,250.0125,259.645
2023-06-30,207.5,247.7625,259.645
2023-07-03,212.5,245.1375,259.645
2023-07-05,247.5,244.3875,260.345
2023-07-06,217.5,242.2625,260.345
2023-07-07,234.5,241.1125,260.785
2023-07-10,220.75,239.275,260.655
2023-07-11,225.0,237.525,260.72
2023-07-12,235.0,235.9125,260.87
2023-07-13,232.5,234.2875,260.545
2023-07-14,217.5,231.6625,259.645
2023-07-17,232.5,229.85,258.995
2023-07-18,260.0,229.725,258.395
2023-07-19,247.5,228.975,257.445
2023-07-20,233.75,227.6,256.22
2023-07-21,236.0,226.625,254.85
2023-07-24,239.0,226.2,253.78
2023-07-25,237.5,227.825,252.63
2023-07-26,238.0,229.975,251.64
2023-07-27,217.5,230.225,250.02
2023-07-28,230.0,231.1,248.52
2023-07-31,229.75,232.2125,247.265
2023-08-01,213.75,232.275,245.64
2023-08-02,206.75,230.2375,243.925
2023-08-03,207.5,229.7375,242.225
2023-08-04,205.0,228.2625,240.5
2023-08-07,197.5,227.1,238.75
2023-08-08,197.25,225.7125,237.245
2023-08-09,200.0,223.9625,235.845
2023-08-10,193.0,221.9875,234.505
2023-08-11,188.25,220.525,233.22
2023-08-14,186.25,218.2125,231.895
2023-08-15,175.0,213.9625,230.095
2023-08-16,163.25,209.75,228.11
2023-08-17,157.25,205.925,226.055
2023-08-18,160.0,202.125,224.105
2023-08-21,205.5,200.45,223.065
2023-08-22,188.0,197.975,221.625
2023-08-23,220.0,197.075,220.68
2023-08-24,200.0,196.2,219.38
2023-08-25,252.5,197.325,219.03
2023-08-28,228.0,197.2375,218.215
2023-08-29,215.0,197.3,217.265
2023-08-30,217.5,197.8375,216.365
2023-08-31,215.0,198.2125,215.44
2023-09-01,205.5,198.2375,214.44
2023-09-05,182.5,197.4875,213.14
2023-09-06,181.25,196.6875,212.665
2023-09-07,167.5,195.0625,212.115
2023-09-08,164.75,193.65,211.16
2023-09-11,170.0,192.7375,210.31
2023-09-12,172.5,192.05,209.61
2023-09-13,174.25,192.0125,208.845
2023-09-14,220.25,194.8625,208.3
2023-09-15,190.25,196.5125,207.755
2023-09-18,187.5,197.8875,206.815
2023-09-19,187.5,196.9875,206.15
2023-09-20,187.5,196.9625,205.4
2023-09-21,172.5,194.5875,204.15
2023-09-22,180.0,193.5875,203.1
2023-09-25,175.0,189.7125,202.25
2023-09-26,171.25,186.875,201.025
2023-09-27,197.25,185.9875,199.77
2023-09-28,182.5,184.2375,198.47
2023-09-29,173.75,182.175,197.27
2023-10-02,172.5,180.525,196.0
2023-10-03,176.0,180.2,194.74
2023-10-04,205.0,181.3875,194.09
2023-10-05,237.5,184.8875,194.08
2023-10-06,257.5,189.525,194.88
2023-10-09,200.75,191.0625,194.295
2023-10-10,215.0,193.1875,194.0
2023-10-11,200.0,194.475,193.725
2023-10-12,190.0,192.9625,193.39
2023-10-13,193.5,193.125,193.11
2023-10-16,190.0,193.25,192.81
2023-10-17,190.0,193.375,192.66
2023-10-18,188.75,193.4375,192.49
2023-10-19,182.5,193.9375,192.14
2023-10-20,180.5,193.9625,191.89
2023-10-23,182.5,194.3375,191.775
2023-10-24,180.0,194.775,191.65
2023-10-25,194.5,194.6375,192.04
2023-10-26,194.75,195.25,192.67
2023-10-27,187.5,195.9375,193.275
2023-10-30,186.25,196.625,193.8
2023-10-31,195.0,197.575,193.59
2023-11-01,187.5,196.7,193.58
2023-11-02,202.25,194.9375,193.225
2023-11-03,189.5,191.5375,193.015
2023-11-06,197.0,191.35,191.905
2023-11-07,203.75,190.7875,191.42
2023-11-08,203.25,190.95,191.185
2023-11-09,208.25,191.8625,191.0
2023-11-10,209.25,192.65,190.885
2023-11-13,193.75,192.8375,190.65
2023-11-14,205.0,193.5875,191.1
2023-11-15,237.5,196.025,192.225
2023-11-16,257.5,199.775,194.025
2023-11-17,217.5,201.625,195.08
2023-11-20,223.75,203.6875,196.155
2023-11-21,222.5,205.8125,197.155
2023-11-22,237.5,207.9625,198.42
2023-11-24,237.5,210.1,198.765
2023-11-27,240.0,212.725,199.76
2023-11-28,232.5,215.0375,200.66
